Programme_name,School_Name,Programme_requirement,Document_Requirements,Specialization,Country,University_Website
Executive Master of Business Administration (EMBA) in Leading in the Digital Age,University Of Europe For Applied Sciences,"Application form
High School Diploma / Certificate
Undergraduate degree (Bachelor’s, MBA, or Master)
Language Proficiency* (or request to waive**)
CV
Copy of Passport
Letter of motivation
Non-EU applicants only: €3,000 deposit (This reservation fee will be deducted from the total amount of study fees)","A resume or CV Photos Proof of English proficiency Application form along with the fee A cover letter A letter of motivation - 500 words High school graduation certificate High school transcripts A xerox of the passport A portfolio of your design to study design. If the applicants have low academic or entrance scores, they must submit a letter of recommendation from the last attended university.",Tech,Germany,https://www.ue-germany.com/
Supply Chain Management,Fleming College Toronto,"Undergraduate degree or Ontario College diploma of 2 years (4 semesters) minimum in any discipline or equivalent.
One mathematics course at the post-secondary level (recommended but not required for admissions).
Successful competition of Fleming College Toronto English Language Bridge Level 6 or provide IELTS Academic Overall 6.5 with no band score less than 6.0 or equivalent (students applying through the SDS stream must have an overall 6.0 with no band less than 6.0).","Original Secondary School Transcript, O-level Certificate, English Proficiency, International Passport, BSc Certificate and Transcript",Business,Canada,https://www.flemingcollegetoronto.ca
Operations Management,IBAT College,"IELTS (Academic): 6.0, no component less than 5.5
DuoLingo: Min score 105, min 100 in each section (under review)
Pearson PTE Academic: Min score of 50 (preferably closer to 55)
TOEFL IBT: Min score of 80
Cambridge English Qualifications: A minimum score of 180-190 (FCE Grade B)","English Language requirements for International student ,Overseas equivalent qualifications",Business,Ireland,https://www.ibat.ie/
Executive Master of Business Administration in Cross-Border Management,"Norquest College, Canada",IELTS 6.5 and Above Minimum 6.0 in the writing band,"Transcript, Degree/High/Diploma Certificate, Transcripts, SOP, Resume, IELTS, International Passport",Business,Canada,https://www.norquest.ca
MSc Materials Chemistry,University Of Warsaw,"The original of secondary school (maturity) certificate and transcript of grades, entitling to undertake university-level study in country in which the certificate / document was issued
a proof of student’s id (ELS) payment – in case of candidates not holding ELS",,Science,POLAND,www.uw.edu.pl
Master of Business Administration (MBA) with a Data Analytics Concentration,"The University Of Law, UK","2:2 or above from a UK Bachelor’s degree, or equivalent qualification(s)","Academic documents, including senior secondary school mark sheets and certificates Academic documents, including mark sheets and certificates from the bachelor’s programme (graduate applicants only) Official transcripts of all documents that are not in English Proof of prior employment Personal Statement A reference or letter of recommendation Proof of English proficiency through official test scores A copy of the passport",Business,United Kingdom,https://www.law.ac.uk/
Master of Science in Information Systems (MSIS) with a specialization in Project Management,"The University Of Law, UK","2:2 or above from a UK Bachelor’s degree, or equivalent qualification(s)","Academic documents, including senior secondary school mark sheets and certificates Academic documents, including mark sheets and certificates from the bachelor’s programme (graduate applicants only) Official transcripts of all documents that are not in English Proof of prior employment Personal Statement A reference or letter of recommendation Proof of English proficiency through official test scores A copy of the passport",Business,United Kingdom,https://www.law.ac.uk/
MIPH in Global Health Security Management,Avila University,"Bachelor's degree from an accredited institution
GPA requirements for unconditional admission: 2.75 cumulative grade point average at the completion of the undergraduate degree
GPA requirements for conditional admission: 2.5 cumulative grade point average at the completion of the undergraduate degree
Official transcripts from all institutions previously attended","To be admitted to Avila University, proficiency in English is typically required1. They may accept scores of these English language tests as proof of proficiency: IELTS and TOEFL1. The requirements for undergraduate student admission are as follows2: Official high school transcripts Minimum high school GPA of 2.75 or above to apply without SAT or ACT scores; or Minimum high school GPA of 2.5 and ACT score of 20 or SAT score of 1020 English language proficiency test scores Copy of passport( Official educational institute transcripts English proficiency test tallies Copy of passport",Healthcare,United States,https://www.avila.edu/
Master of Quantitative Finance (MQuant),Avila University,"Bachelor's degree from an accredited institution
GPA requirements for unconditional admission: 2.75 cumulative grade point average at the completion of the undergraduate degree
GPA requirements for conditional admission: 2.5 cumulative grade point average at the completion of the undergraduate degree
Official transcripts from all institutions previously attended","To be admitted to Avila University, proficiency in English is typically required1. They may accept scores of these English language tests as proof of proficiency: IELTS and TOEFL1. The requirements for undergraduate student admission are as follows2: Official high school transcripts Minimum high school GPA of 2.75 or above to apply without SAT or ACT scores; or Minimum high school GPA of 2.5 and ACT score of 20 or SAT score of 1020 English language proficiency test scores Copy of passport( Official educational institute transcripts English proficiency test tallies Copy of passport",Business,United States,https://www.avila.edu/
Master of Public Administration (MPA) with a concentration in Project Management,Avila University,"Bachelor's degree from an accredited institution
GPA requirements for unconditional admission: 2.75 cumulative grade point average at the completion of the undergraduate degree
GPA requirements for conditional admission: 2.5 cumulative grade point average at the completion of the undergraduate degree
Official transcripts from all institutions previously attended","To be admitted to Avila University, proficiency in English is typically required1. They may accept scores of these English language tests as proof of proficiency: IELTS and TOEFL1. The requirements for undergraduate student admission are as follows2: Official high school transcripts Minimum high school GPA of 2.75 or above to apply without SAT or ACT scores; or Minimum high school GPA of 2.5 and ACT score of 20 or SAT score of 1020 English language proficiency test scores Copy of passport( Official educational institute transcripts English proficiency test tallies Copy of passport",Business,United States,https://www.avila.edu/
Master of Professional Studies in Emerging Markets and International Development,University Of Windsor,"Completion of a 4-year bachelor degree (or equivalent) from an accredited institution
A cumulative GPA of 70% or above, calculated based on the last 2 years of full time studies of the qualifying degree. Students of various undergraduate backgrounds are welcomed and encouraged into the program.
One academic or professional reference.
No prior work experience is required but all applicants must submit an updated resume and letter of intent.
Any student whose native language is not English, or did not receive a degree from a North American University or any countries listed on the exemption list, must achieve a satisfactory score on one of the following tests: IELTS 7, TOEFL 100, Duolingo 120, ELIP 3",English language proficiency scores: TOEFL-IBT- 83 IELTS- 6.5 PTE: 60 2-3 letters of recommendation Letter of intent Written Sample Professional Resume,Business,Canada,https://www.uwindsor.ca
Master of Arts in Global Leadership and Intercultural Communication,"Manipal Global Next University Malaysia, Malaysia",A Bachelor’s degree from a recognised university with a minimum CGPA of 2.50 on a 4.00 point scale.,A Bachelor’s degree from a recognized university. Evidence of English proficiency for applicants whose first language is not English and who have not undertaken tertiary education in English.,Business,Malaysia,https://www.globalnxt.edu.my/gnxt/admission.html
MBA/Master of Science in Information Systems (MSIS) Dual Degree,"Manipal Global Next University Malaysia, Malaysia","A Bachelor’s degree from a recognized
university with a minimum CGPA of 2.50 on a
4.00 point scale.",A Bachelor’s degree from a recognized university. Evidence of English proficiency for applicants whose first language is not English and who have not undertaken tertiary education in English.,Business,Malaysia,https://www.globalnxt.edu.my/gnxt/admission.html
MBA in Sports Management,University Of Windsor,"Completion of a 4-year bachelor degree (or equivalent) from an accredited institution
A cumulative GPA of 70% or above, calculated based on the last 2 years of full time studies of the qualifying degree. Students of various undergraduate backgrounds are welcomed and encouraged into the program.
One academic or professional reference.
No prior work experience is required but all applicants must submit an updated resume and letter of intent.
Any student whose native language is not English, or did not receive a degree from a North American University or any countries listed on the exemption list, must achieve a satisfactory score on one of the following tests: IELTS 7, TOEFL 100, Duolingo 120, ELIP 3",English language proficiency scores: TOEFL-IBT- 83 IELTS- 6.5 PTE: 60 2-3 letters of recommendation Letter of intent Written Sample Professional Resume,Business,Canada,https://www.uwindsor.ca
MBA in Hospitality Management,"Manipal Global Next University Malaysia, Malaysia",A Bachelor’s degree from a recognised university with a minimum CGPA of 2.50 on a 4.00 point scale.,A Bachelor’s degree from a recognized university. Evidence of English proficiency for applicants whose first language is not English and who have not undertaken tertiary education in English.,Business,Malaysia,https://www.globalnxt.edu.my/gnxt/admission.html
MBA in Non-Profit Management,"Manipal Global Next University Malaysia, Malaysia","A Bachelor’s degree from a recognized
university with a minimum CGPA of 2.50 on a
4.00 point scale.",A Bachelor’s degree from a recognized university. Evidence of English proficiency for applicants whose first language is not English and who have not undertaken tertiary education in English.,Business,Malaysia,https://www.globalnxt.edu.my/gnxt/admission.html
Master of Science in Digital Marketing and Customer Experience,"IU University Of Applied Sciences, Germany",Not Available,"Duly filled visa application form Academic records and transcripts Passport/ID Photographs Letter of Acceptance from college Any previous Germany permits and visas if applicable ,Proof of financial support ,Recent passport size photos ,English language proficiency test scores ,CV ,Private Medical Insurance Cover",Business,Germany,https://www.iu.org/
Global Leadership,IBAT College,"IELTS (Academic): 6.0, no component less than 5.5
DuoLingo: Min score 105, min 100 in each section (under review)
Pearson PTE Academic: Min score of 50 (preferably closer to 55)
TOEFL IBT: Min score of 80
Cambridge English Qualifications: A minimum score of 180-190 (FCE Grade B)","English Language requirements for International student ,Overseas equivalent qualifications",Business,Ireland,https://www.ibat.ie/
MBA in Education Administration,"Norquest College, Canada",IELTS 6.5 and Above Minimum 6.0 in the writing band,"Transcript, Degree/High/Diploma Certificate, Transcripts, SOP, Resume, IELTS, International Passport",Business,Canada,https://www.norquest.ca
MSc Environmental Chemistry,University Of Warsaw,"The original of secondary school (maturity) certificate and transcript of grades, entitling to undertake university-level study in country in which the certificate / document was issued
a proof of student’s id (ELS) payment – in case of candidates not holding ELS",,Science,POLAND,www.uw.edu.pl
Executive Master of Business Administration (EMBA) in Business Problem Solving and Advisory,University Of Europe For Applied Sciences,"Application form
High School Diploma / Certificate
Undergraduate degree (Bachelor’s minimum 180 ECTS)
Language Proficiency* (or request to waive**)
CV
Copy of Passport
Letter of motivation
Non-EU applicants only: €3,000 deposit (This reservation fee will be deducted from the total amount of study fees)
Work experience certificate (1-year full-time work experience required)","A resume or CV Photos Proof of English proficiency Application form along with the fee A cover letter A letter of motivation - 500 words High school graduation certificate High school transcripts A xerox of the passport A portfolio of your design to study design. If the applicants have low academic or entrance scores, they must submit a letter of recommendation from the last attended university.",Business,Germany,https://www.ue-germany.com/
Master of Engineering (MEng) in Software Systems Engineering,University Of Europe For Applied Sciences,"Application form
High School Diploma / Certificate
Undergraduate degree (Bachelor’s, MBA, or Master)
Language Proficiency* (or request to waive**)
CV
Copy of Passport
Letter of motivation
Non-EU applicants only: €3,000 deposit (This reservation fee will be deducted from the total amount of study fees)","A resume or CV Photos Proof of English proficiency Application form along with the fee A cover letter A letter of motivation - 500 words High school graduation certificate High school transcripts A xerox of the passport A portfolio of your design to study design. If the applicants have low academic or entrance scores, they must submit a letter of recommendation from the last attended university.",Tech,Germany,https://www.ue-germany.com/
MA in User Experience (UX) Design and Strategy,University Of Europe For Applied Sciences,"Application form
High School Diploma / Certificate
Undergraduate degree (Bachelor’s, MBA, or Master)
Language Proficiency* (or request to waive**)
CV
Copy of Passport
Letter of motivation
Non-EU applicants only: €3,000 deposit (This reservation fee will be deducted from the total amount of study fees)","A resume or CV Photos Proof of English proficiency Application form along with the fee A cover letter A letter of motivation - 500 words High school graduation certificate High school transcripts A xerox of the passport A portfolio of your design to study design. If the applicants have low academic or entrance scores, they must submit a letter of recommendation from the last attended university.",Tech,Germany,https://www.ue-germany.com/
Master of Professional Studies (MPS) in Digital Business Strategy,University Of Europe For Applied Sciences,"Application form
High School Diploma / Certificate
Undergraduate degree (Bachelor’s, MBA, or Master)
Language Proficiency* (or request to waive**)
CV
Copy of Passport
Letter of motivation
Non-EU applicants only: €3,000 deposit (This reservation fee will be deducted from the total amount of study fees)","A resume or CV Photos Proof of English proficiency Application form along with the fee A cover letter A letter of motivation - 500 words High school graduation certificate High school transcripts A xerox of the passport A portfolio of your design to study design. If the applicants have low academic or entrance scores, they must submit a letter of recommendation from the last attended university.",Tech,Germany,https://www.ue-germany.com/
Export Management,Fleming College Toronto,"Undergraduate degree or Ontario College diploma of 2 years (4 semesters) minimum in any discipline or equivalent.
One mathematics course at the post-secondary level (recommended but not required for admissions).
Successful competition of Fleming College Toronto English Language Bridge Level 6 or provide IELTS Academic Overall 6.5 with no band score less than 6.0 or equivalent (students applying through the SDS stream must have an overall 6.0 with no band less than 6.0).","Original Secondary School Transcript, O-level Certificate, English Proficiency, International Passport, BSc Certificate and Transcript",Business,Canada,https://www.flemingcollegetoronto.ca
Global Trade,IBAT College,"IELTS (Academic): 6.0, no component less than 5.5
DuoLingo: Min score 105, min 100 in each section (under review)
Pearson PTE Academic: Min score of 50 (preferably closer to 55)
TOEFL IBT: Min score of 80
Cambridge English Qualifications: A minimum score of 180-190 (FCE Grade B)","English Language requirements for International student ,Overseas equivalent qualifications",Business,Ireland,https://www.ibat.ie/
MBA in Sustainable Business,"Norquest College, Canada",IELTS 6.5 and Above Minimum 6.0 in the writing band,"Transcript, Degree/High/Diploma Certificate, Transcripts, SOP, Resume, IELTS, International Passport",Business,Canada,https://www.norquest.ca
MSc Pharmaceutical Sciences,University Of Warsaw,"The original of secondary school (maturity) certificate and transcript of grades, entitling to undertake university-level study in country in which the certificate / document was issued
a proof of student’s id (ELS) payment – in case of candidates not holding ELS",,Science,POLAND,www.uw.edu.pl
Master of Science in Management (MSM) with a Business Analytics Specialization,"The University Of Law, UK","2:2 or above from a UK Bachelor’s degree, or equivalent qualification(s)","Academic documents, including senior secondary school mark sheets and certificates Academic documents, including mark sheets and certificates from the bachelor’s programme (graduate applicants only) Official transcripts of all documents that are not in English Proof of prior employment Personal Statement A reference or letter of recommendation Proof of English proficiency through official test scores A copy of the passport",Business,United Kingdom,https://www.law.ac.uk/
"MSc Project ManagementMaster of Science in Healthcare Administration (MHA) with a concentration in Project Management
","The University Of Law, UK","2:2 or above from a UK Bachelor’s degree, or equivalent qualification(s)","Academic documents, including senior secondary school mark sheets and certificates Academic documents, including mark sheets and certificates from the bachelor’s programme (graduate applicants only) Official transcripts of all documents that are not in English Proof of prior employment Personal Statement A reference or letter of recommendation Proof of English proficiency through official test scores A copy of the passport",Business,United Kingdom,https://www.law.ac.uk/
MSc in One Health: Public Health Management for Animal and Human Wellbeing,Avila University,"Bachelor's degree from an accredited institution
GPA requirements for unconditional admission: 2.75 cumulative grade point average at the completion of the undergraduate degree
GPA requirements for conditional admission: 2.5 cumulative grade point average at the completion of the undergraduate degree
Official transcripts from all institutions previously attended","To be admitted to Avila University, proficiency in English is typically required1. They may accept scores of these English language tests as proof of proficiency: IELTS and TOEFL1. The requirements for undergraduate student admission are as follows2: Official high school transcripts Minimum high school GPA of 2.75 or above to apply without SAT or ACT scores; or Minimum high school GPA of 2.5 and ACT score of 20 or SAT score of 1020 English language proficiency test scores Copy of passport( Official educational institute transcripts English proficiency test tallies Copy of passport",Healthcare,United States,https://www.avila.edu/
Master of Corporate Finance and Valuation (MCFV),Avila University,"Bachelor's degree from an accredited institution
GPA requirements for unconditional admission: 2.75 cumulative grade point average at the completion of the undergraduate degree
GPA requirements for conditional admission: 2.5 cumulative grade point average at the completion of the undergraduate degree
Official transcripts from all institutions previously attended","To be admitted to Avila University, proficiency in English is typically required1. They may accept scores of these English language tests as proof of proficiency: IELTS and TOEFL1. The requirements for undergraduate student admission are as follows2: Official high school transcripts Minimum high school GPA of 2.75 or above to apply without SAT or ACT scores; or Minimum high school GPA of 2.5 and ACT score of 20 or SAT score of 1020 English language proficiency test scores Copy of passport( Official educational institute transcripts English proficiency test tallies Copy of passport",Business,United States,https://www.avila.edu/
"Master of Science in Sports Management with a concentration in Project Management
",Avila University,"Bachelor's degree from an accredited institution
GPA requirements for unconditional admission: 2.75 cumulative grade point average at the completion of the undergraduate degree
GPA requirements for conditional admission: 2.5 cumulative grade point average at the completion of the undergraduate degree
Official transcripts from all institutions previously attended","To be admitted to Avila University, proficiency in English is typically required1. They may accept scores of these English language tests as proof of proficiency: IELTS and TOEFL1. The requirements for undergraduate student admission are as follows2: Official high school transcripts Minimum high school GPA of 2.75 or above to apply without SAT or ACT scores; or Minimum high school GPA of 2.5 and ACT score of 20 or SAT score of 1020 English language proficiency test scores Copy of passport( Official educational institute transcripts English proficiency test tallies Copy of passport",Business,United States,https://www.avila.edu/
MBA in Fintech,University Of Windsor,"Completion of a 4-year bachelor degree (or equivalent) from an accredited institution
A cumulative GPA of 70% or above, calculated based on the last 2 years of full time studies of the qualifying degree. Students of various undergraduate backgrounds are welcomed and encouraged into the program.
One academic or professional reference.
No prior work experience is required but all applicants must submit an updated resume and letter of intent.
Any student whose native language is not English, or did not receive a degree from a North American University or any countries listed on the exemption list, must achieve a satisfactory score on one of the following tests: IELTS 7, TOEFL 100, Duolingo 120, ELIP 3",English language proficiency scores: TOEFL-IBT- 83 IELTS- 6.5 PTE: 60 2-3 letters of recommendation Letter of intent Written Sample Professional Resume,Business,Canada,https://www.uwindsor.ca
MBA in Artificial Intelligence (AI) and Business,"Manipal Global Next University Malaysia, Malaysia",A Bachelor’s degree from a recognised university with a minimum CGPA of 2.50 on a 4.00 point scale.,A Bachelor’s degree from a recognized university. Evidence of English proficiency for applicants whose first language is not English and who have not undertaken tertiary education in English.,Business,Malaysia,https://www.globalnxt.edu.my/gnxt/admission.html
MBA in Data Science and Business Analytics,"Manipal Global Next University Malaysia, Malaysia","A Bachelor’s degree from a recognized
university with a minimum CGPA of 2.50 on a
4.00 point scale.",A Bachelor’s degree from a recognized university. Evidence of English proficiency for applicants whose first language is not English and who have not undertaken tertiary education in English.,Business,Malaysia,https://www.globalnxt.edu.my/gnxt/admission.html
MBA in Blockchain Technology and Business,University Of Windsor,"Completion of a 4-year bachelor degree (or equivalent) from an accredited institution
A cumulative GPA of 70% or above, calculated based on the last 2 years of full time studies of the qualifying degree. Students of various undergraduate backgrounds are welcomed and encouraged into the program.
One academic or professional reference.
No prior work experience is required but all applicants must submit an updated resume and letter of intent.
Any student whose native language is not English, or did not receive a degree from a North American University or any countries listed on the exemption list, must achieve a satisfactory score on one of the following tests: IELTS 7, TOEFL 100, Duolingo 120, ELIP 3",English language proficiency scores: TOEFL-IBT- 83 IELTS- 6.5 PTE: 60 2-3 letters of recommendation Letter of intent Written Sample Professional Resume,Business,Canada,https://www.uwindsor.ca
Master of International Business (MIB),"Manipal Global Next University Malaysia, Malaysia",A Bachelor’s degree from a recognised university with a minimum CGPA of 2.50 on a 4.00 point scale.,A Bachelor’s degree from a recognized university. Evidence of English proficiency for applicants whose first language is not English and who have not undertaken tertiary education in English.,Business,Malaysia,https://www.globalnxt.edu.my/gnxt/admission.html
MBA in Global Management,"Manipal Global Next University Malaysia, Malaysia","A Bachelor’s degree from a recognized
university with a minimum CGPA of 2.50 on a
4.00 point scale.",A Bachelor’s degree from a recognized university. Evidence of English proficiency for applicants whose first language is not English and who have not undertaken tertiary education in English.,Business,Malaysia,https://www.globalnxt.edu.my/gnxt/admission.html
Master of Science in Brand Management and Storytelling,"IU University Of Applied Sciences, Germany",Not Available,"Duly filled visa application form Academic records and transcripts Passport/ID Photographs Letter of Acceptance from college Any previous Germany permits and visas if applicable ,Proof of financial support ,Recent passport size photos ,English language proficiency test scores ,CV ,Private Medical Insurance Cover",Business,Germany,https://www.iu.org/
MBA in International Trade and Investment,"Manipal Academy Of Higher Education, UAE","Admission to the Master of Business Administration - International Business (Day) Program is open to all candidates who have acquired a Bachelor’s degree of minimum three years duration recognised by Manipal University, with at least 50% in aggregate in the qualifying examination
The selection for the MBA - International Business (Day) program is based on valid score of CAT/MAT/GMAT/XAT and personal interview conducted by the University.","DOCUMENTS REQUIRED FOR UNDERGRADUATE PROGRAMS Attested copy of mark sheet/ grade sheet of 12th Std. examination/ equivalent - original & photocopy Certified copy of 10th Std. mark sheet - original & photocopy Transfer Certificate or School Leaving Certificate - original (will not be returned) Conduct Certificate issued by the school - original (will not be returned) Passport Copy - 1 set 10 passport size 
photographs,DOCUMENTS REQUIRED FOR POSTGRADUATE PROGRAMS Certified copy of Bachelor Degree and a copy of the mark sheet (along with the original) Passport copy 5 Passport size photograph",Business,United Arab Emirates,https://www.manipaldubai.com/mud.html
Master of Science in Information Management (MSIM) with a Business Analytics Concentration,"New York Institute Of Technology Vancouver, Canada","Four (4) – year Bachelor’s degree or its equivalent from an accredited college or university.
Minimum cumulative GPA of 3.0 on a 4.0 scale. In exceptional circumstances, applicants with overall GPA between 2.75 - 2.99 (on a 4.0 scale) may be eligible to apply if they have a minimum of 2 years’ work experience with a proof of employment to be submitted by the employer.","A copy of your passport (valid passport only, expired passport will not be accepted). Proof of English Language Proficiency (IELTS Academic and IELTS Online, TOEFL iBT and Home Edition, PTE). GMAT score if your overall GPA is less than 3.0 on a 4.0 scale (MBA only) Bachelor's Degree completion certificate.",Business,Canada,https://vancouver.nyit.edu/
"Master of Science in Organizational Development and Change Management with a focus on Project Management
",University Of Europe For Applied Sciences,"Application form
High School Diploma / Certificate
Undergraduate degree (Bachelor’s minimum 180 ECTS)
Language Proficiency* (or request to waive**)
CV
Copy of Passport
Letter of motivation
Non-EU applicants only: €3,000 deposit (This reservation fee will be deducted from the total amount of study fees)
Work experience certificate (1-year full-time work experience required)","A resume or CV Photos Proof of English proficiency Application form along with the fee A cover letter A letter of motivation - 500 words High school graduation certificate High school transcripts A xerox of the passport A portfolio of your design to study design. If the applicants have low academic or entrance scores, they must submit a letter of recommendation from the last attended university.",Business,Germany,https://www.ue-germany.com/
Executive Master of Business Administration (EMBA) in Financial Leadership,University Of Europe For Applied Sciences,"Application form
High School Diploma / Certificate
Undergraduate degree (Bachelor’s minimum 180 ECTS)
Language Proficiency* (or request to waive**)
CV
Copy of Passport
Letter of motivation
Non-EU applicants only: €3,000 deposit (This reservation fee will be deducted from the total amount of study fees)
Work experience certificate (1-year full-time work experience required)","A resume or CV Photos Proof of English proficiency Application form along with the fee A cover letter A letter of motivation - 500 words High school graduation certificate High school transcripts A xerox of the passport A portfolio of your design to study design. If the applicants have low academic or entrance scores, they must submit a letter of recommendation from the last attended university.",Business,Germany,https://www.ue-germany.com/
Master of Professional Studies (MPS) in Management Consulting and Change Management,University Of Europe For Applied Sciences,"Application form
High School Diploma / Certificate
Undergraduate degree (Bachelor’s minimum 180 ECTS)
Language Proficiency* (or request to waive**)
CV
Copy of Passport
Letter of motivation
Non-EU applicants only: €3,000 deposit (This reservation fee will be deducted from the total amount of study fees)
Work experience certificate (1-year full-time work experience required)","A resume or CV Photos Proof of English proficiency Application form along with the fee A cover letter A letter of motivation - 500 words High school graduation certificate High school transcripts A xerox of the passport A portfolio of your design to study design. If the applicants have low academic or entrance scores, they must submit a letter of recommendation from the last attended university.",Business,Germany,https://www.ue-germany.com/
Master of Information Technology (MIT) in Enterprise Software Development,University Of Europe For Applied Sciences,"Application form
High School Diploma / Certificate
Undergraduate degree (Bachelor’s, MBA, or Master)
Language Proficiency* (or request to waive**)
CV
Copy of Passport
Letter of motivation
Non-EU applicants only: €3,000 deposit (This reservation fee will be deducted from the total amount of study fees)","A resume or CV Photos Proof of English proficiency Application form along with the fee A cover letter A letter of motivation - 500 words High school graduation certificate High school transcripts A xerox of the passport A portfolio of your design to study design. If the applicants have low academic or entrance scores, they must submit a letter of recommendation from the last attended university.",Tech,Germany,https://www.ue-germany.com/
MFA in Narrative Design and Storytelling,University Of Europe For Applied Sciences,"Application form
High School Diploma / Certificate
Undergraduate degree (Bachelor’s, MBA, or Master)
Language Proficiency* (or request to waive**)
CV
Copy of Passport
Letter of motivation
Non-EU applicants only: €3,000 deposit (This reservation fee will be deducted from the total amount of study fees)","A resume or CV Photos Proof of English proficiency Application form along with the fee A cover letter A letter of motivation - 500 words High school graduation certificate High school transcripts A xerox of the passport A portfolio of your design to study design. If the applicants have low academic or entrance scores, they must submit a letter of recommendation from the last attended university.",Tech,Germany,https://www.ue-germany.com/
Master of Arts (MA) in Digital Leadership and Technology Management,University Of Europe For Applied Sciences,"Application form
High School Diploma / Certificate
Undergraduate degree (Bachelor’s, MBA, or Master)
Language Proficiency* (or request to waive**)
CV
Copy of Passport
Letter of motivation
Non-EU applicants only: €3,000 deposit (This reservation fee will be deducted from the total amount of study fees)","A resume or CV Photos Proof of English proficiency Application form along with the fee A cover letter A letter of motivation - 500 words High school graduation certificate High school transcripts A xerox of the passport A portfolio of your design to study design. If the applicants have low academic or entrance scores, they must submit a letter of recommendation from the last attended university.",Tech,Germany,https://www.ue-germany.com/
International Negotiation,Fleming College Toronto,"Undergraduate degree or Ontario College diploma of 2 years (4 semesters) minimum in any discipline or equivalent.
One mathematics course at the post-secondary level (recommended but not required for admissions).
Successful competition of Fleming College Toronto English Language Bridge Level 6 or provide IELTS Academic Overall 6.5 with no band score less than 6.0 or equivalent (students applying through the SDS stream must have an overall 6.0 with no band less than 6.0).","Original Secondary School Transcript, O-level Certificate, English Proficiency, International Passport, BSc Certificate and Transcript",Business,Canada,https://www.flemingcollegetoronto.ca
International Business Communication,IBAT College,"IELTS (Academic): 6.0, no component less than 5.5
DuoLingo: Min score 105, min 100 in each section (under review)
Pearson PTE Academic: Min score of 50 (preferably closer to 55)
TOEFL IBT: Min score of 80
Cambridge English Qualifications: A minimum score of 180-190 (FCE Grade B)","English Language requirements for International student ,Overseas equivalent qualifications",Business,Ireland,https://www.ibat.ie/
MBA in Asia Pacific Business,"Norquest College, Canada",IELTS 6.5 and Above Minimum 6.0 in the writing band,"Transcript, Degree/High/Diploma Certificate, Transcripts, SOP, Resume, IELTS, International Passport",Business,Canada,https://www.norquest.ca
MSc Forensic Science,University Of Warsaw,"The original of secondary school (maturity) certificate and transcript of grades, entitling to undertake university-level study in country in which the certificate / document was issued
a proof of student’s id (ELS) payment – in case of candidates not holding ELS",,Science,POLAND,www.uw.edu.pl
Master of Science in Operations Management (MSOM) with a Business Analytics Concentration,"The University Of Law, UK","2:2 or above from a UK Bachelor’s degree, or equivalent qualification(s)","Academic documents, including senior secondary school mark sheets and certificates Academic documents, including mark sheets and certificates from the bachelor’s programme (graduate applicants only) Official transcripts of all documents that are not in English Proof of prior employment Personal Statement A reference or letter of recommendation Proof of English proficiency through official test scores A copy of the passport",Business,United Kingdom,https://www.law.ac.uk/
Master of Arts (MA) in Leadership and Project Management,"The University Of Law, UK","2:2 or above from a UK Bachelor’s degree, or equivalent qualification(s)","Academic documents, including senior secondary school mark sheets and certificates Academic documents, including mark sheets and certificates from the bachelor’s programme (graduate applicants only) Official transcripts of all documents that are not in English Proof of prior employment Personal Statement A reference or letter of recommendation Proof of English proficiency through official test scores A copy of the passport",Business,United Kingdom,https://www.law.ac.uk/
"MS in Urban Public Health Management and Design
",Avila University,"Bachelor's degree from an accredited institution
GPA requirements for unconditional admission: 2.75 cumulative grade point average at the completion of the undergraduate degree
GPA requirements for conditional admission: 2.5 cumulative grade point average at the completion of the undergraduate degree
Official transcripts from all institutions previously attended","To be admitted to Avila University, proficiency in English is typically required1. They may accept scores of these English language tests as proof of proficiency: IELTS and TOEFL1. The requirements for undergraduate student admission are as follows2: Official high school transcripts Minimum high school GPA of 2.75 or above to apply without SAT or ACT scores; or Minimum high school GPA of 2.5 and ACT score of 20 or SAT score of 1020 English language proficiency test scores Copy of passport( Official educational institute transcripts English proficiency test tallies Copy of passport",Healthcare,United States,https://www.avila.edu/
MS in Information Design and Visualization,University Of Europe For Applied Sciences,"Application form
High School Diploma / Certificate
Undergraduate degree (Bachelor’s, MBA, or Master)
Language Proficiency* (or request to waive**)
CV
Copy of Passport
Letter of motivation
Non-EU applicants only: €3,000 deposit (This reservation fee will be deducted from the total amount of study fees)","A resume or CV Photos Proof of English proficiency Application form along with the fee A cover letter A letter of motivation - 500 words High school graduation certificate High school transcripts A xerox of the passport A portfolio of your design to study design. If the applicants have low academic or entrance scores, they must submit a letter of recommendation from the last attended university.",Tech,Germany,https://www.ue-germany.com/
MBA in Data-Driven Business and Digital Analytics,University Of Europe For Applied Sciences,"Application form
High School Diploma / Certificate
Undergraduate degree (Bachelor’s, MBA, or Master)
Language Proficiency* (or request to waive**)
CV
Copy of Passport
Letter of motivation
Non-EU applicants only: €3,000 deposit (This reservation fee will be deducted from the total amount of study fees)","A resume or CV Photos Proof of English proficiency Application form along with the fee A cover letter A letter of motivation - 500 words High school graduation certificate High school transcripts A xerox of the passport A portfolio of your design to study design. If the applicants have low academic or entrance scores, they must submit a letter of recommendation from the last attended university.",Tech,Germany,https://www.ue-germany.com/
